cell_id,lat,lon,lat_min,lon_min,land_frac
03555_01255,35.55,12.55,35.5,12.5,0.1252
03555_01265,35.55,12.65,35.5,12.6,0.0628
03585_01285,35.85,12.85,35.8,12.8,0.0547
03665_01505,36.65,15.05,36.6,15.0,0.2303
03665_01515,36.65,15.15,36.6,15.1,0.1106
03675_01195,36.75,11.95,36.7,11.9,0.231
03675_01205,36.75,12.05,36.7,12.0,0.3213
03675_01455,36.75,14.55,36.7,14.5,0.1889
03675_01465,36.75,14.65,36.7,14.6,0.5016
03675_01475,36.75,14.75,36.7,14.7,0.8535
03675_01485,36.75,14.85,36.7,14.8,0.7635
03675_01495,36.75,14.95,36.7,14.9,0.9222
03675_01505,36.75,15.05,36.7,15.0,0.9825
03675_01515,36.75,15.15,36.7,15.1,0.1045
03685_01195,36.85,11.95,36.8,11.9,0.2285
03685_01205,36.85,12.05,36.8,12.0,0.0691
03685_01445,36.85,14.45,36.8,14.4,0.4927
03685_01455,36.85,14.55,36.8,14.5,1.0
03685_01465,36.85,14.65,36.8,14.6,1.0
03685_01475,36.85,14.75,36.8,14.7,1.0
03685_01485,36.85,14.85,36.8,14.8,1.0
03685_01495,36.85,14.95,36.8,14.9,1.0
03685_01505,36.85,15.05,36.8,15.0,0.9995
03685_01515,36.85,15.15,36.8,15.1,0.2001
03695_01435,36.95,14.35,36.9,14.3,0.1841
03695_01445,36.95,14.45,36.9,14.4,0.9598
03695_01455,36.95,14.55,36.9,14.5,1.0
03695_01465,36.95,14.65,36.9,14.6,1.0
03695_01475,36.95,14.75,36.9,14.7,1.0
03695_01485,36.95,14.85,36.9,14.8,1.0
03695_01495,36.95,14.95,36.9,14.9,1.0
03695_01505,36.95,15.05,36.9,15.0,1.0
03695_01515,36.95,15.15,36.9,15.1,0.8378
03695_01525,36.95,15.25,36.9,15.2,0.2115
03705_01415,37.05,14.15,37.0,14.1,0.0575
03705_01425,37.05,14.25,37.0,14.2,0.4093
03705_01435,37.05,14.35,37.0,14.3,0.9298
03705_01445,37.05,14.45,37.0,14.4,1.0
03705_01455,37.05,14.55,37.0,14.5,1.0
03705_01465,37.05,14.65,37.0,14.6,1.0
03705_01475,37.05,14.75,37.0,14.7,1.0
03705_01485,37.05,14.85,37.0,14.8,1.0
03705_01495,37.05,14.95,37.0,14.9,1.0
03705_01505,37.05,15.05,37.0,15.0,1.0
03705_01515,37.05,15.15,37.0,15.1,1.0
03705_01525,37.05,15.25,37.0,15.2,0.8937
03705_01535,37.05,15.35,37.0,15.3,0.0828
03715_01375,37.15,13.75,37.1,13.7,0.4337
03715_01385,37.15,13.85,37.1,13.8,0.7568
03715_01395,37.15,13.95,37.1,13.9,0.9644
03715_01405,37.15,14.05,37.1,14.0,0.9112
03715_01415,37.15,14.15,37.1,14.1,0.9917
03715_01425,37.15,14.25,37.1,14.2,1.0
03715_01435,37.15,14.35,37.1,14.3,1.0
03715_01445,37.15,14.45,37.1,14.4,1.0
03715_01455,37.15,14.55,37.1,14.5,1.0
03715_01465,37.15,14.65,37.1,14.6,1.0
03715_01475,37.15,14.75,37.1,14.7,1.0
03715_01485,37.15,14.85,37.1,14.8,1.0
03715_01495,37.15,14.95,37.1,14.9,1.0
03715_01505,37.15,15.05,37.1,15.0,1.0
03715_01515,37.15,15.15,37.1,15.1,0.98
03715_01525,37.15,15.25,37.1,15.2,0.2188
