cell_id,parent_id,lat,lon,lat_min,lon_min,land_frac
036912_014712,03695_01475,36.9125,14.7125,36.9,14.7,1.0
036912_014738,03695_01475,36.9125,14.7375,36.9,14.725,1.0
036912_014762,03695_01475,36.9125,14.7625,36.9,14.75,1.0
036912_014788,03695_01475,36.9125,14.7875,36.9,14.775,1.0
036938_014712,03695_01475,36.9375,14.7125,36.925,14.7,1.0
036938_014738,03695_01475,36.9375,14.7375,36.925,14.725,1.0
036938_014762,03695_01475,36.9375,14.7625,36.925,14.75,1.0
036938_014788,03695_01475,36.9375,14.7875,36.925,14.775,1.0
036962_014712,03695_01475,36.9625,14.7125,36.95,14.7,1.0
036962_014738,03695_01475,36.9625,14.7375,36.95,14.725,1.0
036962_014762,03695_01475,36.9625,14.7625,36.95,14.75,1.0
036962_014788,03695_01475,36.9625,14.7875,36.95,14.775,1.0
036988_014712,03695_01475,36.9875,14.7125,36.975,14.7,1.0
036988_014738,03695_01475,36.9875,14.7375,36.975,14.725,1.0
036988_014762,03695_01475,36.9875,14.7625,36.975,14.75,1.0
036988_014788,03695_01475,36.9875,14.7875,36.975,14.775,1.0
037012_014412,03705_01445,37.0125,14.4125,37.0,14.4,1.0
037012_014438,03705_01445,37.0125,14.4375,37.0,14.425,1.0
037012_014462,03705_01445,37.0125,14.4625,37.0,14.45,1.0
037012_014488,03705_01445,37.0125,14.4875,37.0,14.475,1.0
037012_014712,03705_01475,37.0125,14.7125,37.0,14.7,1.0
037012_014738,03705_01475,37.0125,14.7375,37.0,14.725,1.0
037012_014762,03705_01475,37.0125,14.7625,37.0,14.75,1.0
037012_014788,03705_01475,37.0125,14.7875,37.0,14.775,1.0
037012_014912,03705_01495,37.0125,14.9125,37.0,14.9,1.0
037012_014938,03705_01495,37.0125,14.9375,37.0,14.925,1.0
037012_014962,03705_01495,37.0125,14.9625,37.0,14.95,1.0
037012_014988,03705_01495,37.0125,14.9875,37.0,14.975,1.0
037012_015012,03705_01505,37.0125,15.0125,37.0,15.0,1.0
037012_015038,03705_01505,37.0125,15.0375,37.0,15.025,1.0
037012_015062,03705_01505,37.0125,15.0625,37.0,15.05,1.0
037012_015088,03705_01505,37.0125,15.0875,37.0,15.075,1.0
037038_014412,03705_01445,37.0375,14.4125,37.025,14.4,1.0
037038_014438,03705_01445,37.0375,14.4375,37.025,14.425,1.0
037038_014462,03705_01445,37.0375,14.4625,37.025,14.45,1.0
037038_014488,03705_01445,37.0375,14.4875,37.025,14.475,1.0
037038_014712,03705_01475,37.0375,14.7125,37.025,14.7,1.0
037038_014738,03705_01475,37.0375,14.7375,37.025,14.725,1.0
037038_014762,03705_01475,37.0375,14.7625,37.025,14.75,1.0
037038_014788,03705_01475,37.0375,14.7875,37.025,14.775,1.0
037038_014912,03705_01495,37.0375,14.9125,37.025,14.9,1.0
037038_014938,03705_01495,37.0375,14.9375,37.025,14.925,1.0
037038_014962,03705_01495,37.0375,14.9625,37.025,14.95,1.0
037038_014988,03705_01495,37.0375,14.9875,37.025,14.975,1.0
037038_015012,03705_01505,37.0375,15.0125,37.025,15.0,1.0
037038_015038,03705_01505,37.0375,15.0375,37.025,15.025,1.0
037038_015062,03705_01505,37.0375,15.0625,37.025,15.05,1.0
037038_015088,03705_01505,37.0375,15.0875,37.025,15.075,1.0
037062_014412,03705_01445,37.0625,14.4125,37.05,14.4,1.0
037062_014438,03705_01445,37.0625,14.4375,37.05,14.425,1.0
037062_014462,03705_01445,37.0625,14.4625,37.05,14.45,1.0
037062_014488,03705_01445,37.0625,14.4875,37.05,14.475,1.0
037062_014712,03705_01475,37.0625,14.7125,37.05,14.7,1.0
037062_014738,03705_01475,37.0625,14.7375,37.05,14.725,1.0
037062_014762,03705_01475,37.0625,14.7625,37.05,14.75,1.0
037062_014788,03705_01475,37.0625,14.7875,37.05,14.775,1.0
037062_014912,03705_01495,37.0625,14.9125,37.05,14.9,1.0
037062_014938,03705_01495,37.0625,14.9375,37.05,14.925,1.0
037062_014962,03705_01495,37.0625,14.9625,37.05,14.95,1.0
037062_014988,03705_01495,37.0625,14.9875,37.05,14.975,1.0
037062_015012,03705_01505,37.0625,15.0125,37.05,15.0,1.0
037062_015038,03705_01505,37.0625,15.0375,37.05,15.025,1.0
037062_015062,03705_01505,37.0625,15.0625,37.05,15.05,1.0
037062_015088,03705_01505,37.0625,15.0875,37.05,15.075,1.0
037088_014412,03705_01445,37.0875,14.4125,37.075,14.4,1.0
037088_014438,03705_01445,37.0875,14.4375,37.075,14.425,1.0
037088_014462,03705_01445,37.0875,14.4625,37.075,14.45,1.0
037088_014488,03705_01445,37.0875,14.4875,37.075,14.475,1.0
037088_014712,03705_01475,37.0875,14.7125,37.075,14.7,1.0
037088_014738,03705_01475,37.0875,14.7375,37.075,14.725,1.0
037088_014762,03705_01475,37.0875,14.7625,37.075,14.75,1.0
037088_014788,03705_01475,37.0875,14.7875,37.075,14.775,1.0
037088_014912,03705_01495,37.0875,14.9125,37.075,14.9,1.0
037088_014938,03705_01495,37.0875,14.9375,37.075,14.925,1.0
037088_014962,03705_01495,37.0875,14.9625,37.075,14.95,1.0
037088_014988,03705_01495,37.0875,14.9875,37.075,14.975,1.0
