cell_id,lat,lon,lat_min,lon_min,land_frac,clc_311_latifoglie,clc_312_conifere,clc_313_misto,clc_321_praterie,clc_322_brughiere,clc_323_sclerofille,clc_324_transizione,clc_px_validi,bosco_ha,bosco_frac,dem_px,quota_media,quota_min,quota_max,quota_sd,pendenza_media,q_000_300,q_300_600,q_600_900,q_900_1200,q_1200_1600,q_1600_2000,q_2000_su,esp_n,esp_ne,esp_e,esp_se,esp_s,esp_so,esp_o,esp_no,northness,eastness,frac_pendente,qualita_bosco,macroregione,idoneita_quota,idoneita_ospite,attiva
03695_01475,36.95,14.75,36.9,14.7,1.0,0.0,0.11209,0.0,0.02054,0.0,0.10116,0.00435,9885,1108,0.11209,14280,524.3,239.4,829.7,107.3,8.34,0.0177,0.745,0.2373,0.0,0.0,0.0,0.0,0.0485,0.094,0.188,0.2419,0.0979,0.0842,0.1229,0.1226,-0.1353,0.156,0.7944,0.75,mediterraneo,0.8566,0.6424,True
03705_01445,37.05,14.45,37.0,14.4,1.0,0.09066,0.01084,0.07496,0.00304,0.0,0.11457,0.00689,9872,1742,0.17646,14400,142.9,18.6,281.7,64.1,4.74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1352,0.0455,0.0757,0.1353,0.1795,0.1151,0.145,0.1688,-0.0696,-0.1466,0.522,0.9634,mediterraneo,0.55,0.5299,True
03705_01475,37.05,14.75,37.0,14.7,1.0,0.0,0.30588,0.0,0.0075,0.0,0.09318,0.01084,9873,3020,0.30588,14400,646.0,390.1,901.7,111.0,8.88,0.0,0.3485,0.6514,0.0001,0.0,0.0,0.0,0.0722,0.0946,0.1882,0.1374,0.085,0.1162,0.1945,0.112,-0.0482,0.0006,0.9137,0.75,appenninico,0.828,0.621,True
03705_01495,37.05,14.95,37.0,14.9,1.0,0.12561,0.0,0.0,0.01104,0.0,0.05227,0.0,9872,1240,0.12561,14400,566.3,330.9,739.0,64.3,5.47,0.0,0.6884,0.3116,0.0,0.0,0.0,0.0,0.1609,0.1402,0.135,0.1533,0.156,0.0887,0.0576,0.1084,0.0092,0.1494,0.6092,1.0,mediterraneo,0.8656,0.8656,True
03705_01505,37.05,15.05,37.0,15.0,1.0,0.21623,0.0,0.0,0.00942,0.0,0.06394,0.0,9869,2134,0.21623,14400,425.7,190.0,690.5,95.2,5.22,0.1075,0.8649,0.0276,0.0,0.0,0.0,0.0,0.1264,0.2527,0.1384,0.1608,0.2018,0.0857,0.0146,0.0196,-0.0566,0.3503,0.7258,1.0,mediterraneo,0.8191,0.8191,True
03715_01445,37.15,14.45,37.1,14.4,1.0,0.0767,0.00051,0.04444,0.0,0.0,0.04353,0.00446,9856,1199,0.12165,14400,265.3,97.7,462.0,77.7,5.56,0.6505,0.3495,0.0,0.0,0.0,0.0,0.0,0.0708,0.0437,0.14,0.1855,0.1041,0.1194,0.1674,0.1691,-0.0974,-0.0676,0.6119,0.9807,mediterraneo,0.6548,0.6422,True
03715_01455,37.15,14.55,37.1,14.5,1.0,0.11459,0.0,0.08001,0.00487,0.0,0.02403,0.0,9861,1919,0.1946,14400,347.1,167.7,460.9,51.9,4.24,0.174,0.826,0.0,0.0,0.0,0.0,0.0,0.0471,0.0131,0.1051,0.2492,0.1431,0.0853,0.1504,0.2067,-0.1831,-0.0696,0.5047,0.9794,mediterraneo,0.7978,0.7814,True
03715_01475,37.15,14.75,37.1,14.7,1.0,0.05001,0.07688,0.00325,0.04341,0.0,0.15346,0.01684,9859,1283,0.13014,14400,577.7,320.0,907.3,105.1,8.83,0.0,0.5796,0.4185,0.0019,0.0,0.0,0.0,0.1342,0.0799,0.0891,0.1176,0.1336,0.1334,0.1424,0.1697,-0.0003,-0.1309,0.8851,0.8511,mediterraneo,0.8704,0.7408,True
03715_01485,37.15,14.85,37.1,14.8,1.0,0.17377,0.06553,0.02617,0.08247,0.0,0.12518,0.03246,9858,2617,0.26547,14400,655.7,213.4,987.2,173.3,9.74,0.0183,0.355,0.5493,0.0774,0.0,0.0,0.0,0.1795,0.1686,0.1531,0.1391,0.0586,0.0629,0.0665,0.1715,0.2263,0.1418,0.8904,0.9334,appenninico,0.8168,0.7624,True
03715_01495,37.15,14.95,37.1,14.9,1.0,0.10915,0.10114,0.0,0.00477,0.0,0.1198,0.0,9858,2073,0.21029,14400,540.5,200.9,863.4,121.1,10.2,0.0294,0.6778,0.2928,0.0,0.0,0.0,0.0,0.1716,0.0908,0.1382,0.1954,0.113,0.0521,0.064,0.1749,0.0732,0.1211,0.9108,0.8798,mediterraneo,0.8558,0.7529,True
