cell_id,lat,lon,land_frac,clc_311_latifoglie,clc_312_conifere,clc_313_misto,clc_321_praterie,clc_322_brughiere,clc_323_sclerofille,clc_324_transizione,clc_px_validi,bosco_ha,bosco_frac
03555_01255,35.55,12.55,0.1252,0.0,0.00895,0.0,0.0,0.0,0.09029,0.0,10057,90,0.00895
03555_01265,35.55,12.65,0.0628,0.0,0.0,0.0,0.0,0.0,0.00974,0.0,10064,0,0.0
03585_01285,35.85,12.85,0.0547,0.0,0.0,0.0,0.0,0.0,0.01717,0.0,10018,0,0.0
03665_01505,36.65,15.05,0.2303,0.0,0.0,0.0,0.0,0.0,0.00323,0.0,9922,0,0.0
03665_01515,36.65,15.15,0.1106,0.0,0.0,0.0,0.0,0.0,0.00403,0.0,9926,0,0.0
03675_01195,36.75,11.95,0.231,0.0,0.05157,0.0,0.0,0.0,0.01998,0.0,9908,511,0.05157
03675_01205,36.75,12.05,0.3213,0.0,0.06143,0.0,0.0,0.0,0.04418,0.0,9913,609,0.06143
03675_01455,36.75,14.55,0.1889,0.0,0.0,0.0,0.0,0.0,0.00767,0.0,9909,0,0.0
03675_01465,36.75,14.65,0.5016,0.0,0.0,0.0,0.0,0.0,0.00585,0.0,9911,0,0.0
03675_01475,36.75,14.75,0.8535,0.00414,0.01898,0.0,0.0,0.0,0.0745,0.0,9906,229,0.02312
03675_01485,36.75,14.85,0.7635,0.00605,0.0,0.0,0.0,0.0,0.05821,0.0,9913,60,0.00605
03675_01495,36.75,14.95,0.9222,0.00747,0.00686,0.0,0.0,0.0,0.00676,0.0,9910,142,0.01433
03675_01505,36.75,15.05,0.9825,0.0,0.0,0.0,0.0,0.0,0.02069,0.0,9910,0,0.0
03675_01515,36.75,15.15,0.1045,0.0,0.0,0.0,0.0,0.0,0.00081,0.0,9910,0,0.0
03685_01195,36.85,11.95,0.2285,0.0,0.02051,0.0,0.0,0.0,0.03456,0.0,9896,203,0.02051
03685_01205,36.85,12.05,0.0691,0.0,0.02749,0.0,0.0,0.0,0.0,0.0,9895,272,0.02749
03685_01445,36.85,14.45,0.4927,0.0,0.02961,0.0,0.0,0.0,0.02122,0.0,9896,293,0.02961
03685_01455,36.85,14.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9897,0,0.0
03685_01465,36.85,14.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9898,0,0.0
03685_01475,36.85,14.75,1.0,0.01243,0.04841,0.01374,0.0,0.0,0.02961,0.0,9895,738,0.07458
03685_01485,36.85,14.85,1.0,0.05294,0.0,0.0,0.0,0.0,0.01536,0.0,9898,524,0.05294
03685_01495,36.85,14.95,1.0,0.03758,0.0,0.0,0.0,0.0,0.09688,0.0,9899,372,0.03758
03685_01505,36.85,15.05,0.9995,0.0,0.0,0.0,0.0,0.0,0.00505,0.0,9895,0,0.0
03685_01515,36.85,15.15,0.2001,0.0,0.0,0.0,0.0,0.0,0.02596,0.0,9899,0,0.0
03695_01435,36.95,14.35,0.1841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9885,0,0.0
03695_01445,36.95,14.45,0.9598,0.0,0.0,0.0,0.0,0.0,0.009,0.0,9887,0,0.0
03695_01455,36.95,14.55,1.0,0.0,0.00455,0.0,0.0,0.0,0.05949,0.0,9884,45,0.00455
03695_01465,36.95,14.65,1.0,0.0,0.02124,0.0,0.0,0.0,0.01285,0.00364,9885,210,0.02124
03695_01475,36.95,14.75,1.0,0.0,0.11209,0.0,0.02054,0.0,0.10116,0.00435,9885,1108,0.11209
03695_01485,36.95,14.85,1.0,0.02963,0.0,0.0,0.0,0.0,0.00748,0.00981,9887,293,0.02963
03695_01495,36.95,14.95,1.0,0.05536,0.01984,0.0,0.00374,0.0,0.18652,0.0,9881,743,0.0752
03695_01505,36.95,15.05,1.0,0.03206,0.00071,0.00212,0.01153,0.0,0.34685,0.0,9889,345,0.03489
03695_01515,36.95,15.15,0.8378,0.0,0.0,0.01528,0.00071,0.0,0.07832,0.0,9883,151,0.01528
03695_01525,36.95,15.25,0.2115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9885,0,0.0
03705_01415,37.05,14.15,0.0575,0.00466,0.0,0.0,0.0,0.0,0.0,0.0,9869,46,0.00466
03705_01425,37.05,14.25,0.4093,0.00466,0.0,0.0,0.0,0.0,0.0,0.0,9877,46,0.00466
03705_01435,37.05,14.35,0.9298,0.00861,0.0,0.0,0.01338,0.0,0.01186,0.0,9869,85,0.00861
03705_01445,37.05,14.45,1.0,0.09066,0.01084,0.07496,0.00304,0.0,0.11457,0.00689,9872,1742,0.17646
03705_01455,37.05,14.55,1.0,0.02421,0.0,0.00892,0.0,0.0,0.07466,0.0,9871,327,0.03313
03705_01465,37.05,14.65,1.0,0.0,0.05439,0.0,0.00142,0.0,0.05885,0.0003,9873,537,0.05439
03705_01475,37.05,14.75,1.0,0.0,0.30588,0.0,0.0075,0.0,0.09318,0.01084,9873,3020,0.30588
03705_01485,37.05,14.85,1.0,0.01429,0.05491,0.0,0.008,0.0,0.06626,0.03739,9870,683,0.0692
03705_01495,37.05,14.95,1.0,0.12561,0.0,0.0,0.01104,0.0,0.05227,0.0,9872,1240,0.12561
03705_01505,37.05,15.05,1.0,0.21623,0.0,0.0,0.00942,0.0,0.06394,0.0,9869,2134,0.21623
03705_01515,37.05,15.15,1.0,0.00375,0.0,0.0,0.0,0.0,0.01995,0.0,9874,37,0.00375
03705_01525,37.05,15.25,0.8937,0.0,0.0,0.0,0.02269,0.0,0.0,0.0,9872,0,0.0
03705_01535,37.05,15.35,0.0828,0.0,0.0,0.0,0.0,0.0,0.01621,0.0,9872,0,0.0
03715_01375,37.15,13.75,0.4337,0.0,0.0,0.0,0.00477,0.0,0.02505,0.0,9860,0,0.0
03715_01385,37.15,13.85,0.7568,0.00862,0.01014,0.0,0.05468,0.0,0.01309,0.0,9858,185,0.01876
03715_01395,37.15,13.95,0.9644,0.00669,0.0,0.0,0.04524,0.0,0.00101,0.0,9859,66,0.00669
03715_01405,37.15,14.05,0.9112,0.00781,0.0,0.0,0.02789,0.0,0.00862,0.0,9860,77,0.00781
03715_01415,37.15,14.15,0.9917,0.09229,0.00345,0.0,0.03134,0.0,0.03945,0.00619,9860,944,0.09574
03715_01425,37.15,14.25,1.0,0.00538,0.00659,0.0,0.03317,0.0,0.04767,0.00284,9859,118,0.01197
03715_01435,37.15,14.35,1.0,0.02596,0.0,0.0,0.01186,0.0,0.02464,0.0,9861,256,0.02596
03715_01445,37.15,14.45,1.0,0.0767,0.00051,0.04444,0.0,0.0,0.04353,0.00446,9856,1199,0.12165
03715_01455,37.15,14.55,1.0,0.11459,0.0,0.08001,0.00487,0.0,0.02403,0.0,9861,1919,0.1946
03715_01465,37.15,14.65,1.0,0.01025,0.01501,0.0,0.01593,0.0,0.09232,0.0,9857,249,0.02526
03715_01475,37.15,14.75,1.0,0.05001,0.07688,0.00325,0.04341,0.0,0.15346,0.01684,9859,1283,0.13014
03715_01485,37.15,14.85,1.0,0.17377,0.06553,0.02617,0.08247,0.0,0.12518,0.03246,9858,2617,0.26547
03715_01495,37.15,14.95,1.0,0.10915,0.10114,0.0,0.00477,0.0,0.1198,0.0,9858,2073,0.21029
03715_01505,37.15,15.05,1.0,0.06451,0.04219,0.0,0.11208,0.0,0.13815,0.0,9859,1052,0.1067
03715_01515,37.15,15.15,0.98,0.06341,0.0,0.0,0.03693,0.0,0.0903,0.0,9856,625,0.06341
03715_01525,37.15,15.25,0.2188,0.0,0.0,0.0,0.03408,0.0,0.02272,0.0,9860,0,0.0
03725_01355,37.25,13.55,0.2121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9844,0,0.0
03725_01365,37.25,13.65,0.8057,0.0065,0.00264,0.00589,0.0,0.0,0.00589,0.0,9848,148,0.01503
03725_01375,37.25,13.75,1.0,0.0001,0.0,0.00609,0.03108,0.0,0.0,0.0,9847,61,0.00619
03725_01385,37.25,13.85,1.0,0.0,0.0,0.0,0.03088,0.0,0.0,0.0,9846,0,0.0
03725_01395,37.25,13.95,1.0,0.0,0.0,0.0,0.00792,0.0,0.01686,0.0,9846,0,0.0
03725_01405,37.25,14.05,1.0,0.06745,0.0,0.0,0.02072,0.0,0.01371,0.0,9844,664,0.06745
03725_01415,37.25,14.15,1.0,0.0,0.0,0.0,0.03249,0.0,0.0,0.0,9848,0,0.0
03725_01425,37.25,14.25,1.0,0.19366,0.00112,0.0,0.04184,0.0,0.052,0.00975,9847,1918,0.19478
03725_01435,37.25,14.35,1.0,0.23908,0.02357,0.02032,0.04125,0.0,0.07377,0.00437,9842,2785,0.28297
03725_01445,37.25,14.45,1.0,0.10663,0.00305,0.0,0.00264,0.0,0.08378,0.02244,9847,1080,0.10968
