cell_id,lat,lon,dem_px,quota_media,quota_min,quota_max,quota_sd,pendenza_media,q_000_300,q_300_600,q_600_900,q_900_1200,q_1200_1600,q_1600_2000,q_2000_su,esp_n,esp_ne,esp_e,esp_se,esp_s,esp_so,esp_o,esp_no,northness,eastness,frac_pendente
03555_01255,35.55,12.55,14520,8.0,0.0,128.1,24.0,0.91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2313,0.087,0.0193,0.0814,0.3118,0.1829,0.0137,0.0725,-0.1632,-0.0734,0.0855
03555_01265,35.55,12.65,14280,1.9,-0.2,73.0,8.3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2088,0.2036,0.1572,0.0464,0.1598,0.116,0.049,0.0593,0.1337,0.163,0.0272
03585_01285,35.85,12.85,14400,1.7,0.0,178.2,10.8,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1016,0.2157,0.1497,0.0766,0.1355,0.123,0.1016,0.0963,0.0371,0.0905,0.039
03665_01505,36.65,15.05,14400,3.8,-1.1,57.4,9.3,0.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0659,0.0385,0.0879,0.1758,0.1593,0.0495,0.2802,0.0611,-0.1743,0.0126
03665_01515,36.65,15.15,14400,2.8,-0.9,69.2,10.2,0.29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3427,0.177,0.1376,0.1236,0.0478,0.0365,0.014,0.1208,0.409,0.2003,0.0247
03675_01195,36.75,11.95,14520,55.8,0.0,763.1,127.3,2.42,0.9257,0.0672,0.0071,0.0,0.0,0.0,0.0,0.0371,0.0209,0.0044,0.0162,0.0813,0.4338,0.2653,0.1411,-0.244,-0.6583,0.2211
03675_01205,36.75,12.05,14641,99.5,0.0,824.1,168.1,4.22,0.8389,0.1441,0.0169,0.0,0.0,0.0,0.0,0.0968,0.1741,0.2099,0.1821,0.09,0.0782,0.0825,0.0865,0.0091,0.2704,0.3189
03675_01455,36.75,14.55,14520,6.9,0.0,137.0,19.5,0.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068,0.1284,0.6366,0.1489,0.0656,0.0137,-0.8204,-0.0118,0.0504
03675_01465,36.75,14.65,14520,40.2,0.0,258.8,57.2,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0152,0.0053,0.0214,0.0952,0.3381,0.1875,0.2162,0.1211,-0.4395,-0.3545,0.2446
03675_01475,36.75,14.75,14520,129.2,0.0,340.2,97.3,2.56,0.9663,0.0337,0.0,0.0,0.0,0.0,0.0,0.0184,0.0143,0.0343,0.2508,0.3484,0.1297,0.1278,0.0762,-0.557,-0.0541,0.3174
03675_01485,36.75,14.85,14520,101.4,0.0,330.1,95.3,2.3,0.9897,0.0103,0.0,0.0,0.0,0.0,0.0,0.0303,0.0401,0.0589,0.3793,0.3597,0.0624,0.041,0.0284,-0.6137,0.2584,0.3158
03675_01495,36.75,14.95,14520,41.3,-3.5,220.9,41.7,2.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.0652,0.1444,0.2314,0.1496,0.156,0.1479,0.0643,-0.3023,0.0544,0.2366
03675_01505,36.75,15.05,14520,31.9,-2.0,117.9,22.0,1.72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0918,0.0829,0.1513,0.2488,0.1335,0.1064,0.1106,0.0746,-0.1867,0.146,0.132
03675_01515,36.75,15.15,14520,1.5,-2.0,47.0,5.9,0.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0794,0.1164,0.3122,0.1958,0.1746,0.0423,0.0106,0.0688,-0.1168,0.4501,0.013
03685_01195,36.85,11.95,14400,24.6,0.0,314.3,57.9,1.47,0.9995,0.0005,0.0,0.0,0.0,0.0,0.0,0.2979,0.1619,0.0427,0.0269,0.0251,0.0682,0.1296,0.2477,0.508,-0.1835,0.1935
03685_01205,36.85,12.05,14520,8.3,0.0,391.8,36.8,0.66,0.9984,0.0016,0.0,0.0,0.0,0.0,0.0,0.3873,0.3227,0.0799,0.001,0.0,0.002,0.0174,0.1895,0.7651,0.1704,0.0672
03685_01445,36.85,14.45,14400,15.1,-0.3,80.2,20.9,1.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1204,0.1044,0.0365,0.083,0.1534,0.2704,0.1249,0.1069,-0.1384,-0.2185,0.139
03685_01455,36.85,14.55,14400,178.1,25.9,421.0,98.1,3.28,0.8562,0.1438,0.0,0.0,0.0,0.0,0.0,0.0218,0.0088,0.0056,0.1058,0.176,0.1316,0.3449,0.2055,-0.1764,-0.5156,0.4431
03685_01465,36.85,14.65,14400,351.2,27.6,599.7,151.2,5.19,0.4036,0.5964,0.0,0.0,0.0,0.0,0.0,0.0445,0.0256,0.0295,0.2548,0.217,0.0957,0.1105,0.2223,-0.2614,-0.1108,0.6012
03685_01475,36.85,14.75,14400,381.4,109.0,603.0,93.8,6.94,0.1811,0.8176,0.0012,0.0,0.0,0.0,0.0,0.0463,0.0244,0.0902,0.2521,0.1579,0.0832,0.1692,0.1767,-0.2098,-0.0711,0.6693
03685_01485,36.85,14.85,14400,362.6,155.1,527.1,66.5,2.79,0.1727,0.8273,0.0,0.0,0.0,0.0,0.0,0.0651,0.189,0.1289,0.2115,0.2438,0.1193,0.0279,0.0144,-0.2819,0.2956,0.284
03685_01495,36.85,14.95,14400,157.0,34.3,319.5,68.2,3.87,0.9844,0.0156,0.0,0.0,0.0,0.0,0.0,0.0831,0.1776,0.174,0.1827,0.1577,0.1067,0.0633,0.0549,-0.1144,0.2615,0.4881
03685_01505,36.85,15.05,14400,71.5,-0.5,301.8,56.0,3.54,0.9999,0.0001,0.0,0.0,0.0,0.0,0.0,0.0662,0.1378,0.1653,0.137,0.2012,0.1318,0.0756,0.0852,-0.1726,0.1312,0.4923
03685_01515,36.85,15.15,14400,5.0,-0.5,118.0,13.2,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0893,0.1633,0.1939,0.1403,0.1939,0.1403,0.0102,0.0689,-0.1337,0.257,0.0272
03695_01435,36.95,14.35,14280,3.8,0.0,79.0,11.2,0.29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1342,0.0608,0.0,0.0,0.0025,0.4329,0.2354,0.1342,-0.0144,-0.6412,0.0277
03695_01445,36.95,14.45,14280,99.1,0.0,230.4,47.9,1.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0443,0.0514,0.0633,0.0866,0.1752,0.3033,0.1422,0.1337,-0.2721,-0.2956,0.0995
03695_01455,36.95,14.55,14280,187.1,23.0,463.4,74.3,3.17,0.9125,0.0875,0.0,0.0,0.0,0.0,0.0,0.1342,0.0651,0.0358,0.1202,0.0962,0.1338,0.1405,0.2743,0.104,-0.2722,0.3408
03695_01465,36.95,14.65,14280,469.0,163.2,777.8,161.6,5.05,0.2417,0.4986,0.2597,0.0,0.0,0.0,0.0,0.1,0.0236,0.0201,0.0863,0.1049,0.0887,0.2109,0.3655,0.1527,-0.4418,0.4658
03695_01475,36.95,14.75,14280,524.3,239.4,829.7,107.3,8.34,0.0177,0.745,0.2373,0.0,0.0,0.0,0.0,0.0485,0.094,0.188,0.2419,0.0979,0.0842,0.1229,0.1226,-0.1353,0.156,0.7944
03695_01485,36.95,14.85,14280,416.6,206.6,591.3,83.9,5.39,0.1096,0.8904,0.0,0.0,0.0,0.0,0.0,0.1,0.1747,0.2243,0.1688,0.1104,0.0827,0.0654,0.0738,-0.0135,0.2997,0.7479
03695_01495,36.95,14.95,14280,415.8,124.6,655.7,155.5,6.46,0.3157,0.5754,0.1089,0.0,0.0,0.0,0.0,0.0309,0.0969,0.1228,0.1264,0.1631,0.2221,0.1748,0.063,-0.2771,-0.0994,0.7083
03695_01505,36.95,15.05,14280,373.6,89.4,539.1,99.4,7.07,0.2151,0.7849,0.0,0.0,0.0,0.0,0.0,0.0631,0.1213,0.1739,0.1465,0.1672,0.2119,0.0832,0.0329,-0.2548,0.1125,0.73
03695_01515,36.95,15.15,14280,151.4,0.0,503.6,149.1,5.5,0.7835,0.2165,0.0,0.0,0.0,0.0,0.0,0.0986,0.2532,0.1569,0.2148,0.1767,0.0848,0.0058,0.0092,-0.105,0.4211,0.432
03695_01525,36.95,15.25,14280,4.1,0.0,54.5,9.6,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0323,0.4677,0.3468,0.1371,0.0161,0.0,-0.7625,0.2513,0.0087
03705_01415,37.05,14.15,14400,0.9,0.0,69.1,5.5,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1603,0.1795,0.016,0.0224,0.2853,0.2724,0.0224,0.0417,-0.1758,-0.0948,0.0217
