cell_id,parent_id,lat_min,lon_min,quota_media,delta_quota,bosco_frac,northness,idoneita_ospite,macroregione
036912_014762,03695_01475,36.9,14.75,444.7,-79.6,0.4789,0.0086,0.6187,mediterraneo
036938_014762,03695_01475,36.925,14.75,417.6,-106.7,0.31935,0.0154,0.622,mediterraneo
036938_014788,03695_01475,36.925,14.775,566.9,42.6,0.10407,-0.0084,0.6386,mediterraneo
036962_014762,03695_01475,36.95,14.75,403.9,-120.4,0.12235,-0.0712,0.6375,mediterraneo
036962_014788,03695_01475,36.95,14.775,512.4,-11.9,0.14125,0.1612,0.6375,mediterraneo
036988_014738,03695_01475,36.975,14.725,606.5,82.2,0.47642,-0.3034,0.5959,appenninico
037012_014738,03705_01475,37.0,14.725,746.2,100.2,0.21809,-0.3053,0.7119,appenninico
037012_014762,03705_01475,37.0,14.75,595.9,-50.1,0.65635,-0.2102,0.6542,mediterraneo
037012_014912,03705_01495,37.0,14.9,545.2,-21.1,0.16854,-0.3308,0.8697,mediterraneo
037012_015062,03705_01505,37.0,15.05,431.4,5.7,0.2557,0.1311,0.85,mediterraneo
037012_015088,03705_01505,37.0,15.075,346.0,-79.7,0.30519,0.2431,0.8197,mediterraneo
037038_014712,03705_01475,37.025,14.7,692.3,46.3,0.61951,0.2473,0.6496,appenninico
037038_014738,03705_01475,37.025,14.725,762.7,116.7,0.14309,0.1454,0.7125,appenninico
037038_014762,03705_01475,37.025,14.75,683.4,37.4,0.63242,-0.1139,0.6708,appenninico
037038_014788,03705_01475,37.025,14.775,523.3,-122.7,0.11601,-0.354,0.6421,mediterraneo
037038_014938,03705_01495,37.025,14.925,594.9,28.6,0.3,0.2148,0.8754,mediterraneo
037038_014988,03705_01495,37.025,14.975,502.4,-63.9,0.21661,-0.2017,0.85,mediterraneo
037038_015012,03705_01505,37.025,15.0,485.1,59.4,0.33011,-0.0818,0.85,mediterraneo
037038_015038,03705_01505,37.025,15.025,425.9,0.2,0.28943,0.2257,0.85,mediterraneo
037062_014462,03705_01445,37.05,14.45,138.7,-4.2,0.72698,0.2669,0.5231,mediterraneo
037062_014488,03705_01445,37.05,14.475,209.3,66.4,0.17676,0.7404,0.5225,mediterraneo
037062_014712,03705_01475,37.05,14.7,562.9,-83.1,0.5316,0.0331,0.6487,mediterraneo
037062_014738,03705_01475,37.05,14.725,713.4,67.4,0.6371,0.0556,0.7031,appenninico
037062_014762,03705_01475,37.05,14.75,643.5,-2.5,0.17455,0.2822,0.6404,appenninico
