cell_id,lat,lon,land_frac,clc_311_latifoglie,clc_312_conifere,clc_313_misto,clc_321_praterie,clc_322_brughiere,clc_323_sclerofille,clc_324_transizione,clc_px_validi,bosco_ha,bosco_frac
036912_014712,36.9125,14.7125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0,0.0
036912_014738,36.9125,14.7375,1.0,0.0,0.0,0.0,0.0,0.0,0.09709,0.0,618,0,0.0
036912_014762,36.9125,14.7625,1.0,0.0,0.4789,0.0,0.01948,0.0,0.04221,0.0,616,295,0.4789
036912_014788,36.9125,14.7875,1.0,0.0,0.00643,0.0,0.0,0.0,0.0,0.0,622,4,0.00643
036938_014712,36.9375,14.7125,1.0,0.0,0.0,0.0,0.0,0.0,0.48618,0.0,615,0,0.0
036938_014738,36.9375,14.7375,1.0,0.0,0.0,0.0,0.0,0.0,0.35599,0.0,618,0,0.0
036938_014762,36.9375,14.7625,1.0,0.0,0.31935,0.0,0.26613,0.0,0.07903,0.0,620,198,0.31935
036938_014788,36.9375,14.7875,1.0,0.0,0.10407,0.0,0.00488,0.0,0.0,0.0,615,64,0.10407
036962_014712,36.9625,14.7125,1.0,0.0,0.0,0.0,0.0,0.0,0.1871,0.0,620,0,0.0
036962_014738,36.9625,14.7375,1.0,0.0,0.02746,0.0,0.0,0.0,0.31826,0.0,619,17,0.02746
036962_014762,36.9625,14.7625,1.0,0.0,0.12235,0.0,0.03752,0.0,0.0,0.0,613,75,0.12235
036962_014788,36.9625,14.7875,1.0,0.0,0.14125,0.0,0.0,0.0,0.0,0.0626,623,88,0.14125
036988_014712,36.9875,14.7125,1.0,0.0,0.05682,0.0,0.0,0.0,0.05357,0.0,616,35,0.05682
036988_014738,36.9875,14.7375,1.0,0.0,0.47642,0.0,0.0,0.0,0.0,0.0,615,293,0.47642
036988_014762,36.9875,14.7625,1.0,0.0,0.0628,0.0,0.0,0.0,0.0,0.0,621,39,0.0628
036988_014788,36.9875,14.7875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00653,613,0,0.0
037012_014412,37.0125,14.4125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00812,616,0,0.0
037012_014438,37.0125,14.4375,1.0,0.0,0.0,0.0,0.0,0.0,0.01621,0.0859,617,0,0.0
037012_014462,37.0125,14.4625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0161,621,0,0.0
037012_014488,37.0125,14.4875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611,0,0.0
037012_014712,37.0125,14.7125,1.0,0.0,0.08239,0.0,0.0,0.0,0.0,0.11309,619,51,0.08239
037012_014738,37.0125,14.7375,1.0,0.0,0.21809,0.0,0.0,0.0,0.0,0.0,619,135,0.21809
037012_014762,37.0125,14.7625,1.0,0.0,0.65635,0.0,0.0,0.0,0.0,0.0,614,403,0.65635
037012_014788,37.0125,14.7875,1.0,0.0,0.07085,0.0,0.0,0.0,0.0,0.0,621,44,0.07085
037012_014912,37.0125,14.9125,1.0,0.16854,0.0,0.0,0.0,0.0,0.03852,0.0,623,105,0.16854
037012_014938,37.0125,14.9375,1.0,0.04405,0.0,0.0,0.0,0.0,0.0,0.0,613,27,0.04405
037012_014962,37.0125,14.9625,1.0,0.0,0.0,0.0,0.0,0.0,0.08401,0.0,619,0,0.0
037012_014988,37.0125,14.9875,1.0,0.0,0.0,0.0,0.0,0.0,0.06462,0.0,619,0,0.0
037012_015012,37.0125,15.0125,1.0,0.0,0.0,0.0,0.0,0.0,0.12866,0.0,614,0,0.0
037012_015038,37.0125,15.0375,1.0,0.00161,0.0,0.0,0.0,0.0,0.15298,0.0,621,1,0.00161
037012_015062,37.0125,15.0625,1.0,0.2557,0.0,0.0,0.06352,0.0,0.0,0.0,614,157,0.2557
037012_015088,37.0125,15.0875,1.0,0.30519,0.0,0.0,0.0,0.0,0.08604,0.0,616,188,0.30519
037038_014412,37.0375,14.4125,1.0,0.0,0.0,0.0,0.0,0.0,0.19225,0.0,619,0,0.0
037038_014438,37.0375,14.4375,1.0,0.0,0.0,0.0,0.0,0.0,0.33766,0.0,616,0,0.0
037038_014462,37.0375,14.4625,1.0,0.0,0.0,0.03589,0.0,0.0,0.38662,0.0,613,22,0.03589
037038_014488,37.0375,14.4875,1.0,0.0,0.0,0.0,0.0,0.0,0.2592,0.0,625,0,0.0
037038_014712,37.0375,14.7125,1.0,0.0,0.61951,0.0,0.0,0.0,0.0,0.00163,615,381,0.61951
037038_014738,37.0375,14.7375,1.0,0.0,0.14309,0.0,0.0,0.0,0.0,0.0,615,88,0.14309
037038_014762,37.0375,14.7625,1.0,0.0,0.63242,0.0,0.0,0.0,0.02247,0.0,623,394,0.63242
037038_014788,37.0375,14.7875,1.0,0.0,0.11601,0.0,0.0,0.0,0.03595,0.0,612,71,0.11601
037038_014912,37.0375,14.9125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612,0,0.0
037038_014938,37.0375,14.9375,1.0,0.3,0.0,0.0,0.0,0.0,0.05806,0.0,620,186,0.3
037038_014962,37.0375,14.9625,1.0,0.03079,0.0,0.0,0.0,0.0,0.12156,0.0,617,19,0.03079
037038_014988,37.0375,14.9875,1.0,0.21661,0.0,0.0,0.0,0.0,0.22313,0.0,614,133,0.21661
037038_015012,37.0375,15.0125,1.0,0.33011,0.0,0.0,0.0,0.0,0.00966,0.0,621,205,0.33011
037038_015038,37.0375,15.0375,1.0,0.28943,0.0,0.0,0.02602,0.0,0.00976,0.0,615,178,0.28943
037038_015062,37.0375,15.0625,1.0,0.0,0.0,0.0,0.0,0.0,0.20779,0.0,616,0,0.0
037038_015088,37.0375,15.0875,1.0,0.0,0.0,0.0,0.0,0.0,0.16505,0.0,618,0,0.0
037062_014412,37.0625,14.4125,1.0,0.0,0.0,0.0,0.04568,0.0,0.06852,0.0,613,0,0.0
037062_014438,37.0625,14.4375,1.0,0.0,0.08401,0.0,0.00323,0.0,0.12439,0.0,619,52,0.08401
037062_014462,37.0625,14.4625,1.0,0.01616,0.0,0.71082,0.0,0.0,0.00323,0.0,619,450,0.72698
037062_014488,37.0625,14.4875,1.0,0.0,0.0,0.17676,0.0,0.0,0.06874,0.0,611,108,0.17676
037062_014712,37.0625,14.7125,1.0,0.0,0.5316,0.0,0.01135,0.0,0.0,0.0,617,328,0.5316
037062_014738,37.0625,14.7375,1.0,0.0,0.6371,0.0,0.0,0.0,0.0,0.01774,620,395,0.6371
037062_014762,37.0625,14.7625,1.0,0.0,0.17455,0.0,0.0,0.0,0.54976,0.04078,613,107,0.17455
037062_014788,37.0625,14.7875,1.0,0.0,0.0,0.0,0.0,0.0,0.25563,0.0,622,0,0.0
037062_014912,37.0625,14.9125,1.0,0.18035,0.0,0.0,0.0,0.0,0.0,0.0,621,112,0.18035
037062_014938,37.0625,14.9375,1.0,0.24838,0.0,0.0,0.0,0.0,0.0,0.0,616,153,0.24838
037062_014962,37.0625,14.9625,1.0,0.02927,0.0,0.0,0.0,0.0,0.04715,0.0,615,18,0.02927
037062_014988,37.0625,14.9875,1.0,0.17286,0.0,0.0,0.0,0.0,0.15509,0.0,619,107,0.17286
037062_015012,37.0625,15.0125,1.0,0.35065,0.0,0.0,0.0,0.0,0.17045,0.0,616,216,0.35065
037062_015038,37.0625,15.0375,1.0,0.21359,0.0,0.0,0.06149,0.0,0.03722,0.0,618,132,0.21359
037062_015062,37.0625,15.0625,1.0,0.33929,0.0,0.0,0.0,0.0,0.03896,0.0,616,209,0.33929
037062_015088,37.0625,15.0875,1.0,0.22006,0.0,0.0,0.0,0.0,0.01618,0.0,618,136,0.22006
037088_014412,37.0875,14.4125,1.0,0.1463,0.07717,0.0,0.0,0.0,0.04984,0.0,622,139,0.22347
037088_014438,37.0875,14.4375,1.0,0.35294,0.01144,0.0,0.0,0.0,0.12255,0.0,612,223,0.36438
037088_014462,37.0875,14.4625,1.0,0.59157,0.0,0.25932,0.0,0.0,0.04376,0.0,617,525,0.85089
037088_014488,37.0875,14.4875,1.0,0.343,0.0,0.0161,0.0,0.0,0.15942,0.0,621,223,0.3591
037088_014712,37.0875,14.7125,1.0,0.0,0.47727,0.0,0.07955,0.0,0.17532,0.0,616,294,0.47727
037088_014738,37.0875,14.7375,1.0,0.0,0.5228,0.0,0.02932,0.0,0.0,0.0,614,321,0.5228
037088_014762,37.0875,14.7625,1.0,0.0,0.01288,0.0,0.0,0.0,0.33172,0.0,621,8,0.01288
037088_014788,37.0875,14.7875,1.0,0.0,0.0,0.0,0.0,0.0,0.12092,0.0,612,0,0.0
037088_014912,37.0875,14.9125,1.0,0.05375,0.0,0.0,0.09772,0.0,0.04397,0.0,614,33,0.05375
