cell_id,lat,lon,dem_px,quota_media,quota_min,quota_max,quota_sd,pendenza_media,q_000_300,q_300_600,q_600_900,q_900_1200,q_1200_1600,q_1600_2000,q_2000_su,esp_n,esp_ne,esp_e,esp_se,esp_s,esp_so,esp_o,esp_no,northness,eastness,frac_pendente
036912_014712,36.9125,14.7125,900,590.2,502.1,634.6,28.6,2.96,0.0,0.5289,0.4711,0.0,0.0,0.0,0.0,0.0,0.1019,0.7631,0.124,0.0083,0.0028,0.0,0.0,-0.075,0.9253,0.4033
036912_014738,36.9125,14.7375,900,413.7,239.4,534.7,86.0,10.87,0.1311,0.8689,0.0,0.0,0.0,0.0,0.0,0.0947,0.1338,0.3396,0.2172,0.096,0.0505,0.029,0.0391,-0.09,0.491,0.88
036912_014762,36.9125,14.7625,900,444.7,261.7,583.3,91.4,12.2,0.0833,0.9167,0.0,0.0,0.0,0.0,0.0,0.0087,0.0037,0.0473,0.2105,0.0548,0.0548,0.2964,0.3238,0.0086,-0.3824,0.8922
036912_014788,36.9125,14.7875,900,538.0,436.5,585.3,25.0,4.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0382,0.1945,0.4073,0.0564,0.0436,0.1109,0.1473,-0.2526,0.268,0.6111
036938_014712,36.9375,14.7125,870,584.9,407.1,639.1,52.1,9.08,0.0,0.4598,0.5402,0.0,0.0,0.0,0.0,0.1498,0.1466,0.1264,0.2371,0.1326,0.1295,0.0671,0.0109,-0.1363,0.264,0.7368
036938_014738,36.9375,14.7375,870,470.0,302.1,617.6,75.5,13.49,0.0,0.9552,0.0448,0.0,0.0,0.0,0.0,0.0477,0.1909,0.2232,0.2232,0.1217,0.0979,0.0597,0.0358,-0.1524,0.3832,0.9632
036938_014762,36.9375,14.7625,870,417.6,282.4,581.8,87.1,11.6,0.069,0.931,0.0,0.0,0.0,0.0,0.0,0.0194,0.0655,0.0642,0.1867,0.0752,0.0497,0.2558,0.2836,0.0154,-0.2727,0.9483
036938_014788,36.9375,14.7875,870,566.9,407.8,606.7,27.2,5.28,0.0,0.9724,0.0276,0.0,0.0,0.0,0.0,0.0549,0.0322,0.1364,0.3201,0.0303,0.0133,0.1458,0.267,-0.0084,0.0342,0.6069
036962_014712,36.9625,14.7125,900,642.7,508.9,713.0,26.7,3.85,0.0,0.0589,0.9411,0.0,0.0,0.0,0.0,0.0465,0.1837,0.1721,0.3488,0.1581,0.0721,0.0023,0.0163,-0.2661,0.4859,0.4778
036962_014738,36.9625,14.7375,900,542.9,357.5,651.2,61.1,10.29,0.0,0.8222,0.1778,0.0,0.0,0.0,0.0,0.0306,0.2463,0.2402,0.1752,0.1385,0.1115,0.0551,0.0025,-0.137,0.416,0.9067
036962_014762,36.9625,14.7625,900,403.9,313.6,504.6,41.6,9.21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0395,0.0926,0.2173,0.2012,0.0778,0.0815,0.1519,0.1383,-0.0712,0.1316,0.9
036962_014788,36.9625,14.7875,900,512.4,356.0,591.5,57.6,7.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1007,0.0284,0.0071,0.0695,0.095,0.1206,0.2014,0.3773,0.1612,-0.4906,0.7833
036988_014712,36.9875,14.7125,900,721.8,569.6,829.7,46.4,7.37,0.0,0.0067,0.9933,0.0,0.0,0.0,0.0,0.0,0.0206,0.0556,0.5816,0.0713,0.0375,0.1137,0.1197,-0.4266,0.2328,0.9189
036988_014738,36.9875,14.7375,900,606.5,423.2,773.5,71.9,10.34,0.0,0.4444,0.5556,0.0,0.0,0.0,0.0,0.0431,0.0931,0.3027,0.2515,0.1397,0.1083,0.0582,0.0035,-0.3034,0.4206,0.9544
036988_014762,36.9875,14.7625,900,484.4,376.0,612.7,66.6,7.83,0.0,0.9656,0.0344,0.0,0.0,0.0,0.0,0.0253,0.1025,0.2734,0.2759,0.1557,0.1329,0.0291,0.0051,-0.3565,0.4179,0.8778
036988_014788,36.9875,14.7875,900,446.1,376.0,571.1,56.7,8.08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1056,0.0274,0.0991,0.0678,0.103,0.1708,0.2777,0.1486,-0.0425,-0.3537,0.8522
037012_014412,37.0125,14.4125,930,61.9,18.6,117.9,31.5,3.37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.193,0.1689,0.0263,0.0,0.0022,0.1009,0.3531,0.1557,0.3551,-0.3964,0.4903
037012_014438,37.0125,14.4375,930,100.5,33.3,152.9,41.0,3.37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4124,0.0481,0.0,0.0172,0.1203,0.0653,0.1237,0.2131,0.4306,-0.3038,0.3129
037012_014462,37.0125,14.4625,930,141.6,46.5,187.6,38.3,3.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5685,0.0249,0.0,0.0,0.0,0.0,0.0664,0.3402,0.8515,-0.3149,0.2591
037012_014488,37.0125,14.4875,930,186.1,97.8,210.3,13.5,1.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4231,0.0,0.0,0.0,0.0,0.0,0.0897,0.4872,0.8234,-0.4564,0.0839
037012_014712,37.0125,14.7125,930,798.5,625.8,895.2,53.7,8.26,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0833,0.0253,0.1364,0.1944,0.0455,0.0833,0.3371,0.0947,-0.0713,-0.1766,0.8516
037012_014738,37.0125,14.7375,930,746.2,595.1,845.3,56.5,8.52,0.0,0.0022,0.9978,0.0,0.0,0.0,0.0,0.0057,0.0974,0.3443,0.2367,0.0929,0.1314,0.0872,0.0045,-0.3053,0.4143,0.9495
037012_014762,37.0125,14.7625,930,595.9,410.7,775.1,71.6,10.2,0.0,0.5538,0.4462,0.0,0.0,0.0,0.0,0.0256,0.1224,0.3459,0.2614,0.0901,0.0723,0.0768,0.0056,-0.2102,0.5001,0.9667
037012_014788,37.0125,14.7875,930,453.2,390.1,548.9,28.2,6.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0456,0.0514,0.1712,0.1769,0.0685,0.0428,0.2767,0.1669,0.0018,-0.081,0.7538
037012_014912,37.0125,14.9125,930,545.2,330.9,689.9,100.5,9.92,0.0,0.6054,0.3946,0.0,0.0,0.0,0.0,0.0112,0.0,0.0084,0.0532,0.2283,0.2647,0.2549,0.1793,-0.3308,-0.5394,0.7677
037012_014938,37.0125,14.9375,930,644.1,597.3,672.7,10.5,2.41,0.0,0.0011,0.9989,0.0,0.0,0.0,0.0,0.2311,0.1793,0.1275,0.0319,0.0598,0.2072,0.0598,0.1036,0.2126,-0.0027,0.2699
037012_014962,37.0125,14.9625,930,612.9,540.4,669.8,26.2,3.28,0.0,0.3376,0.6624,0.0,0.0,0.0,0.0,0.0618,0.3501,0.3158,0.1053,0.1304,0.0343,0.0023,0.0,0.0721,0.6264,0.4699
037012_014988,37.0125,14.9875,930,513.3,449.3,580.8,36.4,3.92,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0965,0.2246,0.3527,0.2812,0.0166,0.0,0.0017,0.0266,0.0607,0.7074,0.6462
037012_015012,37.0125,15.0125,900,464.6,421.9,532.7,22.2,2.92,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0397,0.1388,0.034,0.0708,0.0963,0.4901,0.1133,0.017,-0.3373,-0.2814,0.3922
037012_015038,37.0125,15.0375,900,476.2,413.1,532.3,24.4,4.38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0941,0.1655,0.1376,0.1446,0.1829,0.2003,0.0575,0.0174,-0.2006,0.1546,0.6378
037012_015062,37.0125,15.0625,900,431.4,342.7,494.2,26.4,4.29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1294,0.3236,0.1602,0.1359,0.1343,0.0437,0.0324,0.0405,0.1311,0.3982,0.6867
037012_015088,37.0125,15.0875,900,346.0,245.2,430.9,36.0,6.41,0.1011,0.8989,0.0,0.0,0.0,0.0,0.0,0.171,0.4166,0.1186,0.08,0.1586,0.0359,0.0014,0.0179,0.2431,0.4313,0.8056
037038_014412,37.0375,14.4125,900,79.4,22.2,151.3,42.9,4.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0507,0.0131,0.0507,0.2101,0.2402,0.1445,0.0807,0.2101,-0.2966,-0.1381,0.5922
037038_014438,37.0375,14.4375,900,80.8,34.8,180.3,42.9,5.79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1412,0.0019,0.0687,0.2023,0.1489,0.042,0.0458,0.3492,0.0669,-0.0985,0.5822
037038_014462,37.0375,14.4625,900,124.9,47.6,216.7,59.1,5.72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662,0.017,0.0189,0.0964,0.4083,0.138,0.1418,0.1134,-0.4052,-0.1987,0.5878
037038_014488,37.0375,14.4875,900,146.1,59.2,222.9,55.0,6.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1649,0.0189,0.0481,0.1564,0.2732,0.0636,0.0481,0.2268,-0.0938,-0.081,0.6467
037038_014712,37.0375,14.7125,900,692.3,486.1,901.7,113.0,11.69,0.0,0.24,0.7589,0.0011,0.0,0.0,0.0,0.1384,0.0652,0.0309,0.0435,0.0195,0.127,0.3043,0.2712,0.2473,-0.4912,0.9711
037038_014738,37.0375,14.7375,900,762.7,668.0,851.2,39.0,6.66,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0546,0.1834,0.2263,0.0884,0.0676,0.0403,0.1977,0.1417,0.1454,0.0857,0.8544
037038_014762,37.0375,14.7625,900,683.4,489.0,802.8,74.7,10.2,0.0,0.1589,0.8411,0.0,0.0,0.0,0.0,0.0517,0.1816,0.2931,0.2345,0.1092,0.0667,0.0103,0.0529,-0.1139,0.5143,0.9667
037038_014788,37.0375,14.7875,900,523.3,437.7,665.8,54.5,6.28,0.0,0.8789,0.1211,0.0,0.0,0.0,0.0,0.033,0.0659,0.2321,0.3496,0.1404,0.0817,0.0774,0.0201,-0.354,0.3974,0.7756
037038_014912,37.0375,14.9125,900,663.3,567.4,737.7,24.3,3.58,0.0,0.0067,0.9933,0.0,0.0,0.0,0.0,0.102,0.2363,0.2761,0.2239,0.0995,0.0149,0.0124,0.0348,0.0283,0.5741,0.4467
037038_014938,37.0375,14.9375,900,594.9,537.1,652.8,28.8,3.49,0.0,0.4922,0.5078,0.0,0.0,0.0,0.0,0.2241,0.2047,0.2198,0.2004,0.0647,0.0194,0.0,0.0668,0.2148,0.4839,0.5156
037038_014962,37.0375,14.9625,900,533.2,488.0,633.8,28.1,3.68,0.0,0.97,0.03,0.0,0.0,0.0,0.0,0.2564,0.3513,0.0359,0.1256,0.2103,0.0077,0.0,0.0128,0.2185,0.3743,0.4333
037038_014988,37.0375,14.9875,900,502.4,450.1,568.2,21.0,4.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1853,0.1028,0.0661,0.1431,0.2716,0.156,0.0275,0.0477,-0.2017,0.0576,0.6056
037038_015012,37.0375,15.0125,900,485.1,401.9,569.5,39.9,5.35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2357,0.1341,0.0709,0.1649,0.2357,0.1202,0.0,0.0385,-0.0818,0.2065,0.7211
037038_015038,37.0375,15.0375,900,425.9,331.3,519.4,43.0,5.22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2779,0.2258,0.1288,0.0868,0.1245,0.0883,0.0188,0.0492,0.2257,0.242,0.7678
037038_015062,37.0375,15.0625,900,364.6,251.7,487.4,44.3,5.27,0.05,0.95,0.0,0.0,0.0,0.0,0.0,0.0694,0.4626,0.0857,0.166,0.1497,0.0612,0.0014,0.0041,0.0896,0.4902,0.8167
037038_015088,37.0375,15.0875,900,298.1,214.9,355.5,29.2,4.13,0.4578,0.5422,0.0,0.0,0.0,0.0,0.0,0.2043,0.1501,0.0669,0.0579,0.4087,0.094,0.0,0.0181,-0.1935,0.1487,0.6144
037062_014412,37.0625,14.4125,870,146.5,90.4,196.6,21.5,3.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0259,0.0142,0.1274,0.1958,0.2075,0.2453,0.1132,0.0708,-0.4316,-0.0647,0.4874
037062_014438,37.0625,14.4375,870,122.4,45.1,206.2,49.3,6.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0239,0.0444,0.2479,0.2444,0.1983,0.1026,0.0957,0.0427,-0.3764,0.2602,0.6724
037062_014462,37.0625,14.4625,870,138.7,52.6,234.0,64.4,6.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1211,0.0649,0.0035,0.0,0.0053,0.0895,0.4684,0.2474,0.2669,-0.659,0.6552
037062_014488,37.0625,14.4875,870,209.3,95.1,248.2,30.2,3.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537,0.0593,0.0296,0.0074,0.0333,0.0185,0.0259,0.2889,0.7404,-0.1693,0.3103
037062_014712,37.0625,14.7125,870,562.9,451.7,767.2,66.9,7.99,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0548,0.0024,0.0298,0.025,0.0429,0.1643,0.4321,0.2488,0.0331,-0.6913,0.9655
037062_014738,37.0625,14.7375,870,713.4,577.7,833.2,56.9,10.84,0.0,0.0356,0.9644,0.0,0.0,0.0,0.0,0.0757,0.0553,0.2933,0.0986,0.0276,0.1034,0.1827,0.1635,0.0556,0.0336,0.9563
037062_014762,37.0625,14.7625,870,643.5,541.7,757.9,51.9,7.23,0.0,0.2747,0.7253,0.0,0.0,0.0,0.0,0.2044,0.2253,0.1641,0.0729,0.0638,0.0573,0.0977,0.1146,0.2822,0.1682,0.8828
037062_014788,37.0625,14.7875,870,618.3,519.0,714.4,41.0,6.34,0.0,0.3299,0.6701,0.0,0.0,0.0,0.0,0.0177,0.0923,0.153,0.1707,0.2402,0.2137,0.0847,0.0278,-0.4205,0.0913,0.9092
037062_014912,37.0625,14.9125,870,613.4,454.2,739.0,50.3,7.05,0.0,0.2862,0.7138,0.0,0.0,0.0,0.0,0.2106,0.2092,0.1869,0.1688,0.0656,0.0042,0.0,0.1548,0.2948,0.3439,0.8241
037062_014938,37.0625,14.9375,870,552.9,433.0,638.6,40.0,5.63,0.0,0.9356,0.0644,0.0,0.0,0.0,0.0,0.2551,0.1395,0.1667,0.1565,0.0323,0.0,0.0476,0.2024,0.3691,0.1902,0.6759
037062_014962,37.0625,14.9625,870,557.5,471.2,604.8,30.4,3.37,0.0,0.9793,0.0207,0.0,0.0,0.0,0.0,0.3123,0.1362,0.0465,0.0731,0.0897,0.0266,0.0133,0.3023,0.4838,-0.0439,0.346
037062_014988,37.0625,14.9875,870,555.9,487.5,619.6,16.5,3.29,0.0,0.9931,0.0069,0.0,0.0,0.0,0.0,0.0854,0.1818,0.124,0.0358,0.1901,0.2617,0.0551,0.0661,-0.1732,0.0067,0.4172
037062_015012,37.0625,15.0125,870,537.0,407.7,633.1,43.3,6.13,0.0,0.9471,0.0529,0.0,0.0,0.0,0.0,0.0837,0.2312,0.105,0.1376,0.2085,0.2014,0.0184,0.0142,-0.2022,0.1955,0.8103
037062_015038,37.0625,15.0375,870,487.9,380.1,581.8,37.6,4.58,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0507,0.1132,0.1622,0.2973,0.2483,0.0946,0.0287,0.0051,-0.4004,0.3777,0.6805
037062_015062,37.0625,15.0625,870,416.0,308.3,477.3,31.7,4.46,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0929,0.1463,0.1635,0.401,0.1583,0.0207,0.0,0.0172,-0.2738,0.5167,0.6678
037062_015088,37.0625,15.0875,870,303.3,190.0,399.4,51.1,6.3,0.4782,0.5218,0.0,0.0,0.0,0.0,0.0,0.0623,0.3815,0.1974,0.2132,0.1311,0.004,0.0,0.0106,0.046,0.6124,0.8678
037088_014412,37.0875,14.4125,900,181.5,114.3,235.4,28.3,5.39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1281,0.0562,0.0828,0.1234,0.1609,0.2094,0.1391,0.1,-0.1571,-0.1509,0.7111
037088_014438,37.0875,14.4375,900,170.6,71.2,243.1,54.9,5.52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0341,0.1007,0.3106,0.2799,0.0648,0.1126,0.0717,0.0256,-0.2033,0.4077,0.6511
037088_014462,37.0875,14.4625,900,179.1,69.4,257.5,60.1,7.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0351,0.0015,0.0761,0.2958,0.1859,0.2357,0.1098,-0.3315,-0.3797,0.7589
037088_014488,37.0875,14.4875,900,221.0,93.1,281.7,53.7,5.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0457,0.0248,0.021,0.2457,0.3295,0.0838,0.0571,0.1924,-0.3637,-0.0571,0.5833
037088_014712,37.0875,14.7125,900,589.9,436.5,712.5,56.3,8.17,0.0,0.5856,0.4144,0.0,0.0,0.0,0.0,0.0777,0.086,0.0718,0.0848,0.1095,0.1331,0.3286,0.1084,-0.0431,-0.3019,0.9433
037088_014738,37.0875,14.7375,900,632.2,407.0,790.5,93.1,12.99,0.0,0.2989,0.7011,0.0,0.0,0.0,0.0,0.1477,0.1261,0.2625,0.0659,0.0159,0.0307,0.1432,0.208,0.3065,0.0964,0.9778
037088_014762,37.0875,14.7625,900,594.3,457.9,700.4,53.2,11.17,0.0,0.4967,0.5033,0.0,0.0,0.0,0.0,0.1185,0.122,0.1649,0.0581,0.1336,0.1754,0.1591,0.0685,-0.0492,-0.0376,0.9567
037088_014788,37.0875,14.7875,900,723.4,567.0,859.1,65.0,8.53,0.0,0.0144,0.9856,0.0,0.0,0.0,0.0,0.0176,0.0082,0.0765,0.0682,0.1047,0.3141,0.32,0.0906,-0.2952,-0.4902,0.9444
037088_014912,37.0875,14.9125,900,572.5,436.3,707.9,59.7,12.59,0.0,0.6733,0.3267,0.0,0.0,0.0,0.0,0.2201,0.1017,0.1053,0.2548,0.2069,0.0586,0.0036,0.049,-0.1043,0.2671,0.9289
037088_014938,37.0875,14.9375,900,490.8,377.3,582.2,48.1,9.76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1743,0.0623,0.1582,0.2989,0.1619,0.0199,0.0411,0.0834,-0.1235,0.2897,0.8922
037088_014962,37.0875,14.9625,900,526.3,375.9,595.7,42.1,6.76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0382,0.0382,0.0113,0.0608,0.2532,0.1952,0.1952,0.2079,-0.2215,-0.3953,0.7856
037088_014988,37.0875,14.9875,900,580.9,520.8,675.5,26.2,4.46,0.0,0.7756,0.2244,0.0,0.0,0.0,0.0,0.2098,0.0199,0.0291,0.0459,0.2741,0.1685,0.0919,0.1608,-0.0896,-0.2439,0.7256
037088_015012,37.0875,15.0125,900,589.9,505.4,690.5,37.7,4.79,0.0,0.6578,0.3422,0.0,0.0,0.0,0.0,0.13,0.2305,0.1473,0.078,0.3466,0.0295,0.0035,0.0347,-0.092,0.3081,0.6411
037088_015038,37.0875,15.0375,900,512.6,373.3,614.8,56.9,6.55,0.0,0.9511,0.0489,0.0,0.0,0.0,0.0,0.1294,0.1849,0.1422,0.2546,0.2845,0.0028,0.0,0.0014,-0.1966,0.4744,0.7811
