cell_id,parent_id,lat,lon,lat_min,lon_min,land_frac,clc_311_latifoglie,clc_312_conifere,clc_313_misto,clc_321_praterie,clc_322_brughiere,clc_323_sclerofille,clc_324_transizione,clc_px_validi,bosco_ha,bosco_frac,dem_px,quota_media,quota_min,quota_max,quota_sd,pendenza_media,q_000_300,q_300_600,q_600_900,q_900_1200,q_1200_1600,q_1600_2000,q_2000_su,esp_n,esp_ne,esp_e,esp_se,esp_s,esp_so,esp_o,esp_no,northness,eastness,frac_pendente,quota_padre,delta_quota,qualita_bosco,macroregione,idoneita_quota,idoneita_ospite,attiva
036912_014712,03695_01475,36.9125,14.7125,36.9,14.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0,0.0,900,590.2,502.1,634.6,28.6,2.96,0.0,0.5289,0.4711,0.0,0.0,0.0,0.0,0.0,0.1019,0.7631,0.124,0.0083,0.0028,0.0,0.0,-0.075,0.9253,0.4033,524.3,65.9,0.0,mediterraneo,0.8736,0.0,False
036912_014738,03695_01475,36.9125,14.7375,36.9,14.725,1.0,0.0,0.0,0.0,0.0,0.0,0.09709,0.0,618,0,0.0,900,413.7,239.4,534.7,86.0,10.87,0.1311,0.8689,0.0,0.0,0.0,0.0,0.0,0.0947,0.1338,0.3396,0.2172,0.096,0.0505,0.029,0.0391,-0.09,0.491,0.88,524.3,-110.6,0.0,mediterraneo,0.8107,0.0,False
036912_014762,03695_01475,36.9125,14.7625,36.9,14.75,1.0,0.0,0.4789,0.0,0.01948,0.0,0.04221,0.0,616,295,0.4789,900,444.7,261.7,583.3,91.4,12.2,0.0833,0.9167,0.0,0.0,0.0,0.0,0.0,0.0087,0.0037,0.0473,0.2105,0.0548,0.0548,0.2964,0.3238,0.0086,-0.3824,0.8922,524.3,-79.6,0.75,mediterraneo,0.825,0.6187,True
036912_014788,03695_01475,36.9125,14.7875,36.9,14.775,1.0,0.0,0.00643,0.0,0.0,0.0,0.0,0.0,622,4,0.00643,900,538.0,436.5,585.3,25.0,4.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0382,0.1945,0.4073,0.0564,0.0436,0.1109,0.1473,-0.2526,0.268,0.6111,524.3,13.7,0.75,mediterraneo,0.85,0.6375,False
036938_014712,03695_01475,36.9375,14.7125,36.925,14.7,1.0,0.0,0.0,0.0,0.0,0.0,0.48618,0.0,615,0,0.0,870,584.9,407.1,639.1,52.1,9.08,0.0,0.4598,0.5402,0.0,0.0,0.0,0.0,0.1498,0.1466,0.1264,0.2371,0.1326,0.1295,0.0671,0.0109,-0.1363,0.264,0.7368,524.3,60.6,0.0,mediterraneo,0.877,0.0,False
036938_014738,03695_01475,36.9375,14.7375,36.925,14.725,1.0,0.0,0.0,0.0,0.0,0.0,0.35599,0.0,618,0,0.0,870,470.0,302.1,617.6,75.5,13.49,0.0,0.9552,0.0448,0.0,0.0,0.0,0.0,0.0477,0.1909,0.2232,0.2232,0.1217,0.0979,0.0597,0.0358,-0.1524,0.3832,0.9632,524.3,-54.3,0.0,mediterraneo,0.8522,0.0,False
036938_014762,03695_01475,36.9375,14.7625,36.925,14.75,1.0,0.0,0.31935,0.0,0.26613,0.0,0.07903,0.0,620,198,0.31935,870,417.6,282.4,581.8,87.1,11.6,0.069,0.931,0.0,0.0,0.0,0.0,0.0,0.0194,0.0655,0.0642,0.1867,0.0752,0.0497,0.2558,0.2836,0.0154,-0.2727,0.9483,524.3,-106.7,0.75,mediterraneo,0.8293,0.622,True
036938_014788,03695_01475,36.9375,14.7875,36.925,14.775,1.0,0.0,0.10407,0.0,0.00488,0.0,0.0,0.0,615,64,0.10407,870,566.9,407.8,606.7,27.2,5.28,0.0,0.9724,0.0276,0.0,0.0,0.0,0.0,0.0549,0.0322,0.1364,0.3201,0.0303,0.0133,0.1458,0.267,-0.0084,0.0342,0.6069,524.3,42.6,0.75,mediterraneo,0.8514,0.6386,True
036962_014712,03695_01475,36.9625,14.7125,36.95,14.7,1.0,0.0,0.0,0.0,0.0,0.0,0.1871,0.0,620,0,0.0,900,642.7,508.9,713.0,26.7,3.85,0.0,0.0589,0.9411,0.0,0.0,0.0,0.0,0.0465,0.1837,0.1721,0.3488,0.1581,0.0721,0.0023,0.0163,-0.2661,0.4859,0.4778,524.3,118.4,0.0,appenninico,0.9294,0.0,False
036962_014738,03695_01475,36.9625,14.7375,36.95,14.725,1.0,0.0,0.02746,0.0,0.0,0.0,0.31826,0.0,619,17,0.02746,900,542.9,357.5,651.2,61.1,10.29,0.0,0.8222,0.1778,0.0,0.0,0.0,0.0,0.0306,0.2463,0.2402,0.1752,0.1385,0.1115,0.0551,0.0025,-0.137,0.416,0.9067,524.3,18.6,0.75,mediterraneo,0.8589,0.6442,False
